name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,1540,0.061811977487260375,0.015265112132426073,0.052903720037122307,0.016791934405760236,0.03611178563136207,0.05456028275375057,1.6390671010512343,-0.3370321604671208,26.568289037832656
no_narrative,1540,0.061811977487260375,0.015265112132426073,0.052903720037122307,0.016791934405760236,0.03611178563136207,0.05456028275375057,1.6390671010512343,-0.3370321604671208,26.568289037832656
no_risk_penalty,1540,0.05675575700450609,0.025930996595829998,0.04614266767583334,0.016728142058279827,0.029414525617553512,0.05720504155020129,1.6303557443257617,-0.37455266464209014,30.190773679361502
no_revenue,1540,0.058489688706441466,0.02171006241636826,0.05500982986788907,0.020478567834951278,0.03453126203293779,0.053116806075468745,1.6159290117361822,-0.3464197291471939,24.145595564370247
no_sector_relative,1540,0.061811977487260375,0.015265112132426073,0.052903720037122307,0.016791934405760236,0.03611178563136207,0.05456028275375057,1.6390671010512343,-0.3370321604671208,26.568289037832656
no_flow,1540,0.06265698637544838,0.013922462494738753,0.05408581347602417,0.018102704136574523,0.03598310933944965,0.05427917840780346,1.667347204488839,-0.3543529738073308,26.471949591236797
no_residual_alpha,1540,0.0512467244657382,0.04435134379710125,0.03830912365321345,0.017416297017790565,0.020892826635422884,0.0434628049017868,1.5619739854422579,-0.18096965196056392,13.758509283025862
residual_alpha_only,1540,0.057546068082707146,0.023926425176763737,0.05047062036822417,0.019321557072567396,0.03114906329565677,0.05284439883392129,1.6095246590017114,-0.3701868862053689,23.64122349733341
narrative_only,1540,,,0.040656190958008556,0.03573352511649279,0.0049226658415157665,0.03940701018516453,1.3664118417191853,-0.27859997415704485,9.79778198777026
random,1540,-0.0273113904070397,0.2841218284248504,0.027390751287100685,0.020510417814432264,0.006880333472668421,0.02791825421113998,1.0820792144088751,-0.4854379471897774,4.250129578611746
