ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
2351.TW,2022-03-24,125100,255000,-129900,8000,-15000,-136900
2351.TW,2022-03-25,520000,1078000,-558000,588000,85835,115835
2351.TW,2022-03-28,235000,306000,-71000,0,-47000,-118000
2351.TW,2022-03-29,1695000,1292000,403000,1389000,221000,2013000
2351.TW,2022-03-30,3167200,2592000,575200,1489000,-3000,2061200
2351.TW,2022-03-31,1854200,2294000,-439800,0,-122169,-561969
2351.TW,2022-04-01,1368000,1563000,-195000,194000,-54608,-55608
2351.TW,2022-04-06,663000,891000,-228000,40000,28119,-159881
2351.TW,2022-04-07,1915000,1655000,260000,-272000,-12515,-24515
2351.TW,2022-04-08,1458100,1295000,163100,-452000,-68215,-357115
2351.TW,2022-04-11,865000,995000,-130000,-222000,-115954,-467954
2351.TW,2022-04-12,1164150,716998,447152,-1026000,-34976,-613824
2351.TW,2022-04-13,443000,838000,-395000,-500000,28708,-866292
2351.TW,2022-04-14,71000,574000,-503000,-264000,-8215,-775215
2351.TW,2022-04-15,298000,579000,-281000,-598000,-26803,-905803
2351.TW,2022-04-18,504000,293000,211000,-333000,-6979,-128979
2351.TW,2022-04-19,555000,591000,-36000,560000,7992,531992
2351.TW,2022-04-20,547100,1086000,-538900,175000,35769,-328131
2351.TW,2022-04-21,1427150,325150,1102000,142000,94910,1338910
2351.TW,2022-04-22,760000,931000,-171000,65000,-25646,-131646
2351.TW,2022-04-25,274000,347000,-73000,4000,-75078,-144078
2351.TW,2022-04-26,151100,413000,-261900,-5000,-3565,-270465
2351.TW,2022-04-27,1022000,491000,531000,0,-22994,508006
2351.TW,2022-04-28,435000,629000,-194000,100000,18491,-75509
2351.TW,2022-04-29,414000,340000,74000,106000,2314,182314
2351.TW,2022-05-03,463000,204000,259000,30000,-716,288284
2351.TW,2022-05-04,244000,235000,9000,165000,5866,179866
2351.TW,2022-05-05,580000,511000,69000,91000,-26093,133907
2351.TW,2022-05-06,308000,403000,-95000,30000,10891,-54109
2351.TW,2022-05-09,140000,145000,-5000,20000,-13853,1147
2351.TW,2022-05-10,638000,205005,432995,0,-1501,431494
2351.TW,2022-05-11,353000,212000,141000,0,-2616,138384
2351.TW,2022-05-12,118000,203000,-85000,0,-3485,-88485
2351.TW,2022-05-13,189000,53000,136000,0,14959,150959
2351.TW,2022-05-16,284000,375000,-91000,345000,14166,268166
2351.TW,2022-05-17,596000,318000,278000,34000,2294,314294
2351.TW,2022-05-18,980000,908000,72000,236000,105087,413087
2351.TW,2022-05-19,515000,384000,131000,60000,-59434,131566
2351.TW,2022-05-20,223000,329000,-106000,393000,-5103,281897
2351.TW,2022-05-23,429000,617000,-188000,0,17251,-170749
2351.TW,2022-05-24,295000,347000,-52000,0,-18472,-70472
2351.TW,2022-05-25,412000,360000,52000,198000,32459,282459
2351.TW,2022-05-26,189000,236000,-47000,211000,10314,174314
