ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
1721.TW,2022-01-03,1340000,1021000,319000,0,0,319000
1721.TW,2022-01-04,331000,836000,-505000,0,0,-505000
1721.TW,2022-01-05,2688000,845000,1843000,0,0,1843000
1721.TW,2022-01-06,1232000,3025000,-1793000,0,0,-1793000
1721.TW,2022-01-07,7079000,6716075,362925,0,0,362925
1721.TW,2022-01-10,1207000,1110000,97000,0,1000,98000
1721.TW,2022-01-11,720000,1186000,-466000,0,0,-466000
1721.TW,2022-01-12,482000,687000,-205000,0,149000,-56000
1721.TW,2022-01-13,644000,511000,133000,0,0,133000
1721.TW,2022-01-14,2291000,1035000,1256000,0,-1000,1255000
1721.TW,2022-01-17,2806000,1920000,886000,0,-5000,881000
1721.TW,2022-01-18,967000,1027000,-60000,0,0,-60000
1721.TW,2022-01-19,718000,1075000,-357000,0,1000,-356000
1721.TW,2022-01-20,732000,968000,-236000,0,0,-236000
1721.TW,2022-01-21,2729000,1218000,1511000,0,-5000,1506000
1721.TW,2022-01-24,2592000,1774000,818000,0,-672,817328
1721.TW,2022-01-25,1511000,3460000,-1949000,0,-2230,-1951230
1721.TW,2022-01-26,1913000,820000,1093000,0,1960,1094960
1721.TW,2022-02-07,1478000,896000,582000,0,2285,584285
1721.TW,2022-02-08,1204000,688000,516000,0,-237,515763
1721.TW,2022-02-09,807000,3893000,-3086000,0,1327,-3084673
1721.TW,2022-02-10,941000,1094000,-153000,0,177,-152823
1721.TW,2022-02-11,743000,322000,421000,0,1114,422114
1721.TW,2022-02-14,687000,633000,54000,0,-197,53803
1721.TW,2022-02-15,1713001,1152000,561001,0,-1235,559766
1721.TW,2022-02-16,766000,1451000,-685000,0,2302,-682698
1721.TW,2022-02-17,1237000,217000,1020000,0,-491,1019509
1721.TW,2022-02-18,936000,569000,367000,0,518,367518
1721.TW,2022-02-21,261000,1163000,-902000,0,-363,-902363
1721.TW,2022-02-22,481000,458000,23000,0,-421,22579
1721.TW,2022-02-23,951000,94000,857000,0,-1801,855199
1721.TW,2022-02-24,619000,927000,-308000,0,2109,-305891
1721.TW,2022-02-25,524000,208000,316000,0,-145,315855
1721.TW,2022-03-01,1000000,124000,876000,0,862,876862
1721.TW,2022-03-02,228000,314000,-86000,0,33,-85967
1721.TW,2022-03-03,339000,893000,-554000,0,-3,-554003
1721.TW,2022-03-04,202075,895000,-692925,0,108,-692817
1721.TW,2022-03-07,1760075,696000,1064075,0,0,1064075
1721.TW,2022-03-08,1304000,766000,538000,0,0,538000
1721.TW,2022-03-09,1077000,1878000,-801000,0,-205,-801205
1721.TW,2022-03-10,1530000,167000,1363000,0,130,1363130
1721.TW,2022-03-11,393000,540000,-147000,0,-275,-147275
1721.TW,2022-03-14,584000,219000,365000,0,-156,364844
1721.TW,2022-03-15,373000,824000,-451000,0,-394,-451394
1721.TW,2022-03-16,911000,427000,484000,0,263,484263
1721.TW,2022-03-17,3201000,5534000,-2333000,0,628,-2332372
1721.TW,2022-03-18,2535000,2739000,-204000,0,239,-203761
1721.TW,2022-03-21,2323000,3168000,-845000,0,29830,-815170
1721.TW,2022-03-22,6064000,5216000,848000,0,-30130,817870
1721.TW,2022-03-23,2734000,3640000,-906000,0,-79,-906079
1721.TW,2022-03-24,4389000,3784000,605000,0,-659,604341
1721.TW,2022-03-25,2074000,2942000,-868000,0,520090,-347910
1721.TW,2022-03-28,2525000,2581000,-56000,0,50419,-5581
1721.TW,2022-03-29,2118000,2617000,-499000,0,4843,-494157
1721.TW,2022-03-30,1038000,1405000,-367000,0,-377,-367377
1721.TW,2022-03-31,1498000,1328000,170000,0,636,170636
1721.TW,2022-04-01,620000,696000,-76000,0,-404,-76404
1721.TW,2022-04-06,675000,477000,198000,0,1000,199000
1721.TW,2022-04-07,715000,612000,103000,0,-399,102601
1721.TW,2022-04-08,3687000,1869000,1818000,0,0,1818000
1721.TW,2022-04-11,4824000,5168000,-344000,0,0,-344000
1721.TW,2022-04-12,1623000,2108000,-485000,0,0,-485000
1721.TW,2022-04-13,199000,898000,-699000,0,0,-699000
1721.TW,2022-04-14,730000,445000,285000,0,0,285000
1721.TW,2022-04-15,225000,570000,-345000,0,0,-345000
1721.TW,2022-04-18,1596000,2507000,-911000,0,0,-911000
1721.TW,2022-04-19,1148000,1273000,-125000,0,0,-125000
1721.TW,2022-04-20,354000,416000,-62000,0,0,-62000
1721.TW,2022-04-21,115000,272000,-157000,0,0,-157000
1721.TW,2022-04-22,482000,510000,-28000,0,0,-28000
1721.TW,2022-04-25,873000,1560000,-687000,0,-5000,-692000
1721.TW,2022-04-26,454000,388900,65100,0,0,65100
1721.TW,2022-04-27,1075000,806000,269000,0,0,269000
1721.TW,2022-04-28,1017000,971000,46000,0,3000,49000
1721.TW,2022-04-29,297000,426000,-129000,0,0,-129000
1721.TW,2022-05-03,291000,392000,-101000,0,0,-101000
1721.TW,2022-05-04,338000,333000,5000,0,0,5000
1721.TW,2022-05-05,497000,297000,200000,0,0,200000
1721.TW,2022-05-06,633600,945000,-311400,0,0,-311400
1721.TW,2022-05-09,539000,701000,-162000,0,0,-162000
1721.TW,2022-05-10,980000,588000,392000,0,-2000,390000
1721.TW,2022-05-11,583000,1138000,-555000,0,0,-555000
1721.TW,2022-05-12,674000,428000,246000,0,-4000,242000
1721.TW,2022-05-13,410000,253000,157000,0,-1000,156000
1721.TW,2022-05-16,1678000,1156000,522000,0,0,522000
1721.TW,2022-05-17,479000,380000,99000,0,0,99000
1721.TW,2022-05-18,925000,256000,669000,0,0,669000
1721.TW,2022-05-19,645000,525000,120000,0,2000,122000
1721.TW,2022-05-20,244000,189000,55000,0,0,55000
1721.TW,2022-05-23,914000,227000,687000,0,0,687000
1721.TW,2022-05-24,586000,590000,-4000,0,1000,-3000
1721.TW,2022-05-25,363000,123000,240000,0,0,240000
1721.TW,2022-05-26,486000,189000,297000,0,0,297000
1721.TW,2022-05-27,468000,164000,304000,0,0,304000
1721.TW,2022-05-30,916000,1256000,-340000,0,0,-340000
1721.TW,2022-05-31,815000,312000,503000,0,0,503000
1721.TW,2022-06-01,1027000,935000,92000,0,-3000,89000
1721.TW,2022-06-02,1405000,2035000,-630000,0,0,-630000
1721.TW,2022-06-06,598000,1229000,-631000,0,0,-631000
1721.TW,2022-06-07,145000,294000,-149000,0,0,-149000
1721.TW,2022-06-08,181000,229000,-48000,0,0,-48000
1721.TW,2022-06-09,692000,140000,552000,0,1000,553000
1721.TW,2022-06-10,791000,129000,662000,0,0,662000
1721.TW,2022-06-13,293000,587000,-294000,0,0,-294000
1721.TW,2022-06-14,438000,738000,-300000,0,0,-300000
1721.TW,2022-06-15,252223,431000,-178777,0,0,-178777
1721.TW,2022-06-16,175000,561000,-386000,0,0,-386000
1721.TW,2022-06-17,738050,263000,475050,0,-1000,474050
1721.TW,2022-06-20,906000,609000,297000,0,0,297000
1721.TW,2022-06-21,881000,204000,677000,0,8000,685000
1721.TW,2022-06-22,399000,614000,-215000,0,1000,-214000
1721.TW,2022-06-23,769000,553000,216000,0,10000,226000
1721.TW,2022-06-24,671000,222000,449000,0,9022,458022
1721.TW,2022-06-27,854000,247000,607000,0,7000,614000
1721.TW,2022-06-28,367000,356000,11000,0,0,11000
1721.TW,2022-06-29,141000,291000,-150000,0,185,-149815
1721.TW,2022-06-30,202000,854000,-652000,0,0,-652000
1721.TW,2022-07-01,1616000,479000,1137000,0,12030,1149030
1721.TW,2022-07-04,1041000,378000,663000,0,13000,676000
1721.TW,2022-07-05,804000,336000,468000,0,8374,476374
1721.TW,2022-07-06,425000,731000,-306000,0,-1000,-307000
1721.TW,2022-07-07,936050,489000,447050,0,-3000,444050
1721.TW,2022-07-08,438000,550000,-112000,0,-1000,-113000
1721.TW,2022-07-11,644000,1677000,-1033000,0,0,-1033000
1721.TW,2022-07-12,881000,540000,341000,0,0,341000
1721.TW,2022-07-13,1251000,426000,825000,0,-1000,824000
1721.TW,2022-07-14,494000,281000,213000,0,1000,214000
1721.TW,2022-07-15,226000,405000,-179000,0,-1000,-180000
1721.TW,2022-07-18,634000,328000,306000,0,0,306000
1721.TW,2022-07-19,597000,356000,241000,0,1000,242000
1721.TW,2022-07-20,397000,289000,108000,0,-3000,105000
1721.TW,2022-07-21,602000,300000,302000,0,-2000,300000
1721.TW,2022-07-22,216000,1280000,-1064000,0,0,-1064000
1721.TW,2022-07-25,1465000,5910000,-4445000,0,1000,-4444000
1721.TW,2022-07-26,855000,2172000,-1317000,0,0,-1317000
1721.TW,2022-07-27,380000,879000,-499000,0,0,-499000
1721.TW,2022-07-28,830000,471000,359000,0,0,359000
1721.TW,2022-07-29,788000,197000,591000,0,0,591000
1721.TW,2022-08-01,697000,173000,524000,0,0,524000
1721.TW,2022-08-02,144000,1137000,-993000,0,0,-993000
1721.TW,2022-08-03,148000,474000,-326000,0,0,-326000
1721.TW,2022-08-04,298000,328000,-30000,0,-24000,-54000
1721.TW,2022-08-05,369000,104000,265000,0,0,265000
1721.TW,2022-08-08,301000,159000,142000,0,0,142000
1721.TW,2022-08-09,298000,129000,169000,0,0,169000
1721.TW,2022-08-10,286000,142000,144000,0,-7000,137000
1721.TW,2022-08-11,702000,250000,452000,0,0,452000
1721.TW,2022-08-12,957000,189000,768000,0,0,768000
1721.TW,2022-08-15,1163000,272000,891000,0,0,891000
1721.TW,2022-08-16,885000,206000,679000,0,0,679000
1721.TW,2022-08-17,774000,527000,247000,0,1000,248000
1721.TW,2022-08-18,892000,203000,689000,0,-1000,688000
1721.TW,2022-08-19,988000,2170000,-1182000,0,1000,-1181000
1721.TW,2022-08-22,1454000,337000,1117000,0,-1000,1116000
1721.TW,2022-08-23,651000,467000,184000,0,-611,183389
1721.TW,2022-08-24,1210000,758000,452000,0,0,452000
1721.TW,2022-08-25,871000,438000,433000,0,1000,434000
1721.TW,2022-08-26,728000,388000,340000,0,0,340000
1721.TW,2022-08-29,1183000,398000,785000,0,-6000,779000
1721.TW,2022-08-30,615000,256000,359000,0,0,359000
1721.TW,2022-08-31,560000,270000,290000,0,0,290000
1721.TW,2022-09-01,996000,3805000,-2809000,0,-20000,-2829000
1721.TW,2022-09-02,375000,206000,169000,0,0,169000
1721.TW,2022-09-05,445000,579000,-134000,0,0,-134000
1721.TW,2022-09-06,1378000,3688000,-2310000,0,0,-2310000
1721.TW,2022-09-07,773000,578000,195000,0,-3000,192000
1721.TW,2022-09-08,181000,763000,-582000,0,0,-582000
1721.TW,2022-09-12,180000,113000,67000,0,0,67000
1721.TW,2022-09-13,88001,354000,-265999,0,0,-265999
1721.TW,2022-09-14,192050,209000,-16950,0,0,-16950
1721.TW,2022-09-15,203000,264000,-61000,0,-2000,-63000
1721.TW,2022-09-16,59000,547000,-488000,0,-2000,-490000
1721.TW,2022-09-19,183000,142000,41000,0,0,41000
1721.TW,2022-09-20,479000,541000,-62000,0,-15000,-77000
1721.TW,2022-09-21,89000,459550,-370550,0,0,-370550
1721.TW,2022-09-22,149000,109000,40000,0,-1000,39000
1721.TW,2022-09-23,104000,361000,-257000,0,0,-257000
1721.TW,2022-09-26,195000,318000,-123000,0,0,-123000
1721.TW,2022-09-27,377000,157000,220000,0,0,220000
1721.TW,2022-09-28,195000,414000,-219000,0,0,-219000
1721.TW,2022-09-29,940000,128000,812000,0,-7000,805000
1721.TW,2022-09-30,555000,337000,218000,0,1000,219000
1721.TW,2022-10-03,340000,317000,23000,0,0,23000
1721.TW,2022-10-04,385000,381700,3300,0,2000,5300
1721.TW,2022-10-05,271000,263000,8000,0,0,8000
1721.TW,2022-10-06,184000,137000,47000,0,0,47000
1721.TW,2022-10-07,140000,171000,-31000,0,0,-31000
1721.TW,2022-10-11,349000,606000,-257000,0,0,-257000
1721.TW,2022-10-12,261000,322000,-61000,0,0,-61000
1721.TW,2022-10-13,642040,631000,11040,0,-1000,10040
1721.TW,2022-10-14,1005000,191000,814000,0,5000,819000
1721.TW,2022-10-17,273000,386000,-113000,0,3000,-110000
1721.TW,2022-10-18,228000,128000,100000,0,6000,106000
1721.TW,2022-10-19,340000,306000,34000,0,0,34000
1721.TW,2022-10-20,149000,249000,-100000,0,0,-100000
1721.TW,2022-10-21,103000,209000,-106000,0,0,-106000
1721.TW,2022-10-24,350000,144000,206000,0,0,206000
1721.TW,2022-10-25,142000,265000,-123000,0,16000,-107000
1721.TW,2022-10-26,280000,249000,31000,0,10000,41000
1721.TW,2022-10-27,833000,148000,685000,0,1000,686000
1721.TW,2022-10-28,102000,335000,-233000,0,12000,-221000
1721.TW,2022-10-31,341000,192000,149000,0,0,149000
1721.TW,2022-11-01,695000,166000,529000,0,2000,531000
1721.TW,2022-11-02,198000,64000,134000,0,0,134000
1721.TW,2022-11-03,179000,41000,138000,0,0,138000
1721.TW,2022-11-04,139000,201000,-62000,0,0,-62000
1721.TW,2022-11-07,308000,377000,-69000,0,0,-69000
1721.TW,2022-11-08,116000,142000,-26000,0,0,-26000
1721.TW,2022-11-09,290000,97000,193000,0,0,193000
1721.TW,2022-11-10,223000,152000,71000,0,0,71000
1721.TW,2022-11-11,250000,314000,-64000,0,0,-64000
1721.TW,2022-11-14,263000,515000,-252000,0,0,-252000
1721.TW,2022-11-15,699000,361000,338000,0,-14000,324000
1721.TW,2022-11-16,33000,308000,-275000,0,-7000,-282000
1721.TW,2022-11-17,592000,132000,460000,0,-3000,457000
1721.TW,2022-11-18,82000,197000,-115000,0,-5000,-120000
1721.TW,2022-11-21,33000,28000,5000,0,0,5000
1721.TW,2022-11-22,58000,60000,-2000,0,0,-2000
1721.TW,2022-11-23,60000,43000,17000,0,0,17000
1721.TW,2022-11-24,197000,12000,185000,0,0,185000
1721.TW,2022-11-25,123000,52000,71000,0,3000,74000
1721.TW,2022-11-28,202000,158000,44000,0,-6000,38000
1721.TW,2022-11-29,418000,182000,236000,0,0,236000
1721.TW,2022-11-30,235000,464000,-229000,0,0,-229000
1721.TW,2022-12-01,954000,2053000,-1099000,0,0,-1099000
1721.TW,2022-12-02,1626000,2681000,-1055000,0,-4000,-1059000
1721.TW,2022-12-05,264000,884000,-620000,0,0,-620000
1721.TW,2022-12-06,405000,526901,-121901,0,0,-121901
1721.TW,2022-12-07,244000,530000,-286000,0,0,-286000
1721.TW,2022-12-08,392000,618000,-226000,0,0,-226000
1721.TW,2022-12-09,74000,336000,-262000,0,0,-262000
1721.TW,2022-12-12,364000,152000,212000,0,0,212000
1721.TW,2022-12-13,179000,258000,-79000,0,0,-79000
1721.TW,2022-12-14,430000,465000,-35000,0,0,-35000
1721.TW,2022-12-15,251000,197000,54000,0,0,54000
1721.TW,2022-12-16,98000,220000,-122000,0,-2000,-124000
1721.TW,2022-12-19,152000,126000,26000,0,-1000,25000
1721.TW,2022-12-20,415000,326000,89000,0,4000,93000
1721.TW,2022-12-21,182000,29000,153000,0,-1000,152000
1721.TW,2022-12-22,148000,44000,104000,0,-1000,103000
1721.TW,2022-12-23,207000,68000,139000,0,-2000,137000
1721.TW,2022-12-26,446000,129000,317000,0,0,317000
1721.TW,2022-12-27,138000,331000,-193000,0,0,-193000
1721.TW,2022-12-28,46000,164000,-118000,0,0,-118000
1721.TW,2022-12-29,173000,119000,54000,0,0,54000
1721.TW,2022-12-30,4000,162000,-158000,0,0,-158000
1721.TW,2023-01-03,42000,63000,-21000,0,0,-21000
1721.TW,2023-01-04,45000,82000,-37000,0,0,-37000
1721.TW,2023-01-05,51000,103000,-52000,0,0,-52000
1721.TW,2023-01-06,40000,40000,0,0,0,0
1721.TW,2023-01-09,169000,79000,90000,0,0,90000
1721.TW,2023-01-10,188000,474000,-286000,0,0,-286000
1721.TW,2023-01-11,65000,108000,-43000,0,0,-43000
1721.TW,2023-01-12,19000,60000,-41000,0,0,-41000
1721.TW,2023-01-13,41000,53000,-12000,0,0,-12000
1721.TW,2023-01-16,57000,25000,32000,0,0,32000
1721.TW,2023-01-17,137000,14000,123000,0,0,123000
1721.TW,2023-01-30,239000,69000,170000,0,0,170000
1721.TW,2023-01-31,402000,231000,171000,0,-7000,164000
1721.TW,2023-02-01,433000,133000,300000,0,0,300000
1721.TW,2023-02-02,245000,193000,52000,0,0,52000
1721.TW,2023-02-03,143000,92000,51000,0,0,51000
1721.TW,2023-02-06,208000,27000,181000,0,0,181000
1721.TW,2023-02-07,348000,76000,272000,0,0,272000
1721.TW,2023-02-08,92000,344000,-252000,0,0,-252000
1721.TW,2023-02-09,27000,211000,-184000,0,0,-184000
1721.TW,2023-02-10,216000,131000,85000,0,0,85000
1721.TW,2023-02-13,153000,165000,-12000,0,0,-12000
1721.TW,2023-02-14,46000,32000,14000,0,0,14000
1721.TW,2023-02-15,69000,118000,-49000,0,0,-49000
1721.TW,2023-02-16,134000,44000,90000,0,0,90000
1721.TW,2023-02-17,109000,16000,93000,0,0,93000
1721.TW,2023-02-20,502000,41000,461000,0,0,461000
1721.TW,2023-02-21,166000,70000,96000,0,0,96000
1721.TW,2023-02-22,51000,111000,-60000,0,0,-60000
1721.TW,2023-02-23,304000,574000,-270000,0,0,-270000
1721.TW,2023-02-24,44000,588000,-544000,0,0,-544000
1721.TW,2023-03-01,94000,398000,-304000,0,0,-304000
1721.TW,2023-03-02,39000,129000,-90000,0,0,-90000
1721.TW,2023-03-03,75000,62000,13000,0,0,13000
1721.TW,2023-03-06,802000,118000,684000,0,0,684000
1721.TW,2023-03-07,391000,22000,369000,0,0,369000
1721.TW,2023-03-08,577000,37000,540000,0,0,540000
1721.TW,2023-03-09,426000,268000,158000,0,0,158000
1721.TW,2023-03-10,85000,395000,-310000,0,0,-310000
1721.TW,2023-03-13,222000,659000,-437000,0,0,-437000
1721.TW,2023-03-14,72000,298000,-226000,0,-1000,-227000
1721.TW,2023-03-15,18000,384000,-366000,0,0,-366000
1721.TW,2023-03-16,81000,259000,-178000,0,0,-178000
1721.TW,2023-03-17,47000,27000,20000,0,0,20000
1721.TW,2023-03-20,128000,28000,100000,0,0,100000
1721.TW,2023-03-21,119000,64000,55000,0,0,55000
1721.TW,2023-03-22,51000,49000,2000,0,0,2000
1721.TW,2023-03-23,158000,22000,136000,0,0,136000
1721.TW,2023-03-24,92001,34000,58001,0,1000,59001
1721.TW,2023-03-27,149000,33000,116000,0,0,116000
1721.TW,2023-03-28,18000,124000,-106000,0,0,-106000
1721.TW,2023-03-29,5000,20000,-15000,0,0,-15000
1721.TW,2023-03-30,57001,64000,-6999,0,0,-6999
1721.TW,2023-03-31,22000,12000,10000,0,0,10000
1721.TW,2023-04-06,33001,69000,-35999,0,0,-35999
1721.TW,2023-04-07,7000,51000,-44000,0,0,-44000
1721.TW,2023-04-10,115000,36000,79000,0,0,79000
1721.TW,2023-04-11,203000,36000,167000,0,0,167000
1721.TW,2023-04-12,66001,113000,-46999,0,0,-46999
1721.TW,2023-04-13,162000,94000,68000,0,0,68000
1721.TW,2023-04-14,63000,85000,-22000,0,0,-22000
1721.TW,2023-04-17,532000,131000,401000,0,-1000,400000
1721.TW,2023-04-18,77000,342000,-265000,0,0,-265000
1721.TW,2023-04-19,264000,642000,-378000,0,0,-378000
1721.TW,2023-04-20,53000,232000,-179000,0,0,-179000
1721.TW,2023-04-21,119000,522000,-403000,0,0,-403000
1721.TW,2023-04-24,241000,300000,-59000,0,0,-59000
1721.TW,2023-04-25,2839000,2744000,95000,0,-7000,88000
1721.TW,2023-04-26,1920000,2602000,-682000,0,1000,-681000
1721.TW,2023-04-27,5375000,4861000,514000,0,0,514000
1721.TW,2023-04-28,3435000,3201000,234000,0,0,234000
1721.TW,2023-05-02,1578000,1646000,-68000,0,0,-68000
1721.TW,2023-05-03,843000,869000,-26000,0,5000,-21000
1721.TW,2023-05-04,649000,758000,-109000,0,0,-109000
1721.TW,2023-05-05,567000,967000,-400000,0,5000,-395000
1721.TW,2023-05-08,927000,293000,634000,0,0,634000
1721.TW,2023-05-09,761000,1000000,-239000,0,0,-239000
1721.TW,2023-05-10,910000,365000,545000,0,4000,549000
1721.TW,2023-05-11,1182000,642000,540000,0,0,540000
1721.TW,2023-05-12,418000,698000,-280000,0,-4000,-284000
1721.TW,2023-05-15,325000,184000,141000,0,3000,144000
1721.TW,2023-05-16,867000,2195000,-1328000,0,18000,-1310000
1721.TW,2023-05-17,675000,1091000,-416000,0,20000,-396000
1721.TW,2023-05-18,381000,289000,92000,0,17000,109000
1721.TW,2023-05-19,1053100,1212000,-158900,0,-8000,-166900
1721.TW,2023-05-22,540000,252000,288000,0,0,288000
1721.TW,2023-05-23,162100,276000,-113900,0,0,-113900
1721.TW,2023-05-24,558000,173000,385000,0,0,385000
1721.TW,2023-05-25,134000,212200,-78200,0,0,-78200
1721.TW,2023-05-26,231000,353000,-122000,0,0,-122000
1721.TW,2023-05-29,411000,90000,321000,0,0,321000
1721.TW,2023-05-30,129000,174000,-45000,0,0,-45000
1721.TW,2023-05-31,278000,103000,175000,0,0,175000
1721.TW,2023-06-01,647000,1113000,-466000,0,0,-466000
1721.TW,2023-06-02,231000,459000,-228000,0,1000,-227000
1721.TW,2023-06-05,787138,834000,-46862,0,1000,-45862
1721.TW,2023-06-06,281000,143000,138000,0,5275,143275
1721.TW,2023-06-07,303000,96000,207000,0,2000,209000
1721.TW,2023-06-08,197000,182000,15000,0,0,15000
1721.TW,2023-06-09,82000,231000,-149000,0,-2000,-151000
1721.TW,2023-06-12,307000,593000,-286000,0,4000,-282000
1721.TW,2023-06-13,85000,104000,-19000,0,0,-19000
1721.TW,2023-06-14,88000,65000,23000,0,0,23000
1721.TW,2023-06-15,72000,78000,-6000,0,0,-6000
1721.TW,2023-06-16,328000,150000,178000,0,0,178000
1721.TW,2023-06-19,128000,91000,37000,0,0,37000
1721.TW,2023-06-20,82000,138138,-56138,0,-1000,-57138
1721.TW,2023-06-21,408000,709000,-301000,0,-4000,-305000
1721.TW,2023-06-26,273000,150000,123000,0,0,123000
1721.TW,2023-06-27,279000,228000,51000,0,0,51000
1721.TW,2023-06-28,134000,78000,56000,0,4000,60000
1721.TW,2023-06-29,87000,116000,-29000,0,0,-29000
1721.TW,2023-06-30,45000,106000,-61000,0,-1000,-62000
1721.TW,2023-07-03,243000,83000,160000,0,0,160000
1721.TW,2023-07-04,22000,206000,-184000,0,0,-184000
1721.TW,2023-07-05,155000,58000,97000,0,1000,98000
1721.TW,2023-07-06,115000,187000,-72000,0,-3000,-75000
1721.TW,2023-07-07,430000,183000,247000,0,-3000,244000
1721.TW,2023-07-10,528000,119000,409000,0,-2000,407000
1721.TW,2023-07-11,140000,77000,63000,0,7000,70000
1721.TW,2023-07-12,98050,83000,15050,0,0,15050
1721.TW,2023-07-13,107000,152000,-45000,0,-275,-45275
1721.TW,2023-07-14,104000,21000,83000,0,-1000,82000
1721.TW,2023-07-17,137000,169000,-32000,0,-1000,-33000
1721.TW,2023-07-18,39000,246000,-207000,0,0,-207000
1721.TW,2023-07-19,114000,234000,-120000,0,-2000,-122000
1721.TW,2023-07-20,460000,276000,184000,0,0,184000
1721.TW,2023-07-21,222000,541000,-319000,0,0,-319000
1721.TW,2023-07-24,51000,270000,-219000,0,0,-219000
1721.TW,2023-07-25,198000,42000,156000,0,0,156000
1721.TW,2023-07-26,61000,129000,-68000,0,0,-68000
1721.TW,2023-07-27,377000,60000,317000,0,0,317000
1721.TW,2023-07-28,32000,238000,-206000,0,0,-206000
1721.TW,2023-07-31,160000,127000,33000,0,0,33000
1721.TW,2023-08-01,96000,63000,33000,0,0,33000
1721.TW,2023-08-02,904000,908000,-4000,0,4000,0
1721.TW,2023-08-04,668000,829000,-161000,0,0,-161000
1721.TW,2023-08-07,180000,106000,74000,0,-1000,73000
1721.TW,2023-08-08,37000,209000,-172000,0,-2000,-174000
1721.TW,2023-08-09,70000,149000,-79000,0,0,-79000
1721.TW,2023-08-10,71000,315000,-244000,0,0,-244000
1721.TW,2023-08-11,87000,180000,-93000,0,1000,-92000
1721.TW,2023-08-14,342050,159000,183050,0,1000,184050
1721.TW,2023-08-15,227000,41000,186000,0,-1000,185000
1721.TW,2023-08-16,117000,113000,4000,0,0,4000
1721.TW,2023-08-17,242000,124000,118000,0,-6000,112000
1721.TW,2023-08-18,55000,142000,-87000,0,0,-87000
1721.TW,2023-08-21,18000,82000,-64000,0,0,-64000
1721.TW,2023-08-22,24000,113000,-89000,0,0,-89000
1721.TW,2023-08-23,74020,82000,-7980,0,0,-7980
1721.TW,2023-08-24,24000,126000,-102000,0,0,-102000
1721.TW,2023-08-25,191000,74000,117000,0,-2000,115000
1721.TW,2023-08-28,21000,202000,-181000,0,0,-181000
1721.TW,2023-08-29,52000,34000,18000,0,0,18000
1721.TW,2023-08-30,199000,13000,186000,0,0,186000
1721.TW,2023-08-31,140000,12000,128000,0,1,128001
1721.TW,2023-09-01,306000,265000,41000,0,-1,40999
1721.TW,2023-09-04,28000,133000,-105000,0,0,-105000
1721.TW,2023-09-05,31000,58000,-27000,0,0,-27000
1721.TW,2023-09-06,39000,132000,-93000,0,0,-93000
1721.TW,2023-09-07,37000,19000,18000,0,0,18000
1721.TW,2023-09-08,22000,19000,3000,0,0,3000
1721.TW,2023-09-11,26000,66000,-40000,0,1000,-39000
1721.TW,2023-09-12,121000,36000,85000,0,0,85000
1721.TW,2023-09-13,365000,22000,343000,0,-1000,342000
1721.TW,2023-09-15,19000,95000,-76000,0,0,-76000
1721.TW,2023-09-18,223000,15000,208000,0,-8000,200000
1721.TW,2023-09-19,126000,83000,43000,0,-1000,42000
1721.TW,2023-09-20,15050,107000,-91950,0,6000,-85950
1721.TW,2023-09-21,11000,126000,-115000,0,-3000,-118000
1721.TW,2023-09-22,121000,40000,81000,0,0,81000
1721.TW,2023-09-25,259000,48000,211000,0,-5000,206000
1721.TW,2023-09-26,39000,82000,-43000,0,-2000,-45000
1721.TW,2023-09-27,45000,68000,-23000,0,0,-23000
1721.TW,2023-09-28,211000,59000,152000,0,-1000,151000
1721.TW,2023-10-02,85000,77000,8000,0,0,8000
1721.TW,2023-10-03,166000,91000,75000,0,0,75000
1721.TW,2023-10-04,13000,41000,-28000,0,0,-28000
1721.TW,2023-10-05,29000,17000,12000,0,0,12000
1721.TW,2023-10-06,213000,28000,185000,0,0,185000
1721.TW,2023-10-11,50000,129000,-79000,0,0,-79000
1721.TW,2023-10-12,315000,23000,292000,0,0,292000
1721.TW,2023-10-13,177000,86000,91000,0,0,91000
1721.TW,2023-10-16,107000,26000,81000,0,0,81000
1721.TW,2023-10-17,37000,39000,-2000,0,0,-2000
1721.TW,2023-10-18,115000,101000,14000,0,0,14000
1721.TW,2023-10-19,36000,22000,14000,0,0,14000
1721.TW,2023-10-20,275000,349000,-74000,0,-20000,-94000
1721.TW,2023-10-23,196000,184000,12000,0,1000,13000
1721.TW,2023-10-24,1380000,2156000,-776000,0,4000,-772000
1721.TW,2023-10-25,1617000,1458000,159000,0,0,159000
1721.TW,2023-10-26,6201000,6633208,-432208,0,0,-432208
1721.TW,2023-10-27,3774000,2174000,1600000,0,0,1600000
1721.TW,2023-10-30,1997000,2650000,-653000,0,0,-653000
1721.TW,2023-10-31,1893000,1488000,405000,0,0,405000
1721.TW,2023-11-01,1464000,1273000,191000,0,0,191000
1721.TW,2023-11-02,1378000,1162000,216000,0,0,216000
1721.TW,2023-11-03,575000,1218000,-643000,0,-3000,-646000
1721.TW,2023-11-06,3439000,5688000,-2249000,0,-2000,-2251000
1721.TW,2023-11-07,2358000,2659000,-301000,0,1000,-300000
1721.TW,2023-11-08,783000,1071000,-288000,0,0,-288000
1721.TW,2023-11-09,1724000,921000,803000,0,0,803000
1721.TW,2023-11-10,340000,1202000,-862000,0,0,-862000
1721.TW,2023-11-13,396000,733000,-337000,0,19000,-318000
1721.TW,2023-11-14,1285000,1061000,224000,0,8000,232000
