ticker,company_name,year_month,revenue,yoy_pct,mom_pct,source_url,notes
1721.TW,三晃 Sunko-Ink,2020-01,261593000,,,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-02,251563000,,-3.8342004564342336,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-03,291371000,,15.824266684687327,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-04,287327000,,-1.3879212413040465,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-05,237645000,,-17.291100383883172,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-06,211844000,,-10.856950493382989,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-07,219356000,,3.546005551254705,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-08,220390000,,0.4713798574007555,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-09,199617000,,-9.425563773310952,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-10,201278000,,0.832093458973926,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-11,193640000,,-3.794751537674257,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2020-12,236914000,,22.347655443090275,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-01,201656000,-22.91231034469576,-14.882193538583621,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-02,267847000,6.473129991294435,32.823719601697945,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-03,180284000,-38.12561991413009,-32.691424581944176,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-04,278527000,-3.062712519185462,54.49346586496861,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-05,212536000,-10.565759851879907,-23.692855629795318,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-06,230490000,8.80175978550255,8.447510068882448,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-07,243448000,10.983059501449688,5.621935875742978,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-08,180460000,-18.11788193656699,-25.873287108540634,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-09,194246000,-2.6906525997284825,7.639366064501818,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-10,225462000,12.01522272677591,16.07034379086314,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-11,269719000,39.288886593678995,19.629471928750753,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2021-12,306256000,29.268848611732533,13.546320429780634,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-01,261364000,29.60883881461498,-14.658325061386556,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-02,278165000,3.8521992032765073,6.428199752069919,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-03,175985000,-2.3845710101839335,-36.73359337084104,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-04,342699000,23.039777113170356,94.73193738102678,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-05,321888000,51.45104829299507,-6.0726760218150595,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-06,327634000,42.14673087769534,1.7850929515856429,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-07,205457000,-15.605385955111561,-37.29069632577815,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-08,230167000,27.544608223429012,12.026847466866553,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-09,225643000,16.16352460282322,-1.9655293764962,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-10,196164000,-12.99465098331426,-13.064442504309904,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-11,197109000,-26.920609968152043,0.48173976876491054,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2022-12,246244000,-19.59537119272765,24.927831808796142,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-01,261399000,0.013391285716468637,6.154464677311933,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-02,166550000,-40.1254651016483,-36.28514263635285,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-03,182930000,3.946359064693006,9.83488441909337,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-04,225991000,-34.055541451827985,23.539605313507895,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-05,167367000,-48.004585445869374,-25.940856051789673,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-06,207930000,-36.535890658478664,24.235960494004203,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-07,124401000,-39.45156407423451,-40.171692396479585,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-08,148976000,-35.274822194319775,19.754664351572735,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-09,167455000,-25.787637994531188,12.404011384384074,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-10,206090000,5.060051793397369,23.07187005464155,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-11,163755000,-16.921601753344596,-20.54199621524576,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2023-12,259354000,5.3239875895453315,58.37928612866783,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-01,164871000,-36.927455728598815,-36.43013024668985,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-02,194153000,16.57340138096668,17.76055218928738,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-03,164787000,-9.918001421308698,-15.12518477695426,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-04,181343000,-19.75653897721591,10.046909040154862,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-05,207343000,23.88523424569957,14.337470980407296,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-06,202110000,-2.7990189005915433,-2.5238373130513247,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1721.TW,三晃 Sunko-Ink,2024-07,198396000,59.4810331106663,-1.8376131809410667,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
