name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,4130,0.034626504442700164,0.026063211610211877,0.06401354420797986,0.02705087805007688,0.03696266615790298,0.07302959871192018,1.97531816194089,-0.2788503050293868,86.34679671380869
no_narrative,4130,0.034626504442700164,0.026063211610211877,0.06401354420797986,0.02705087805007688,0.03696266615790298,0.07302959871192018,1.97531816194089,-0.2788503050293868,86.34679671380869
no_risk_penalty,4130,0.04550825065719515,0.0034421125639046484,0.06430901537548923,0.025331393710976917,0.03897762166451232,0.06629319710070697,1.7188608791498068,-0.3320783995035004,52.21608252799044
no_revenue,4130,0.030091428242462283,0.0531524348233733,0.06196087798994611,0.02866134784610178,0.03329953014384433,0.07791491406298326,1.90626185030443,-0.2791602471864111,108.37604681405664
no_sector_relative,4130,0.034626504442700164,0.026063211610211877,0.06401354420797986,0.02705087805007688,0.03696266615790298,0.07302959871192018,1.97531816194089,-0.2788503050293868,86.34679671380869
no_flow,4130,0.0357222963096755,0.021691104146331384,0.06492648724753927,0.026429249631675516,0.03849723761586375,0.0738333995038575,2.0700328864522963,-0.3058542460280974,92.83795590576565
no_residual_alpha,4130,-0.0356419226852079,0.02198857052165774,0.03667854468963128,0.03757592568137745,-0.0008973809917461675,0.04142507241307255,1.546517340803356,-0.32805314046172795,12.104599109047571
residual_alpha_only,4130,0.03010165168785199,0.053071625676640026,0.06357445646128462,0.0284259020907287,0.035148554370555925,0.08067853359464361,1.9146779589652736,-0.2665089944586233,126.40378051167639
narrative_only,4130,,,0.03559298391398039,0.03426908551553575,0.0013238983984446423,0.032296753708769936,1.197338612456394,-0.370391454674613,5.990521191646333
random,4130,0.02054058237155054,0.18690790211452116,0.042683929496764285,0.030205391407920595,0.01247853808884369,0.03986862244775229,1.683515840792812,-0.18509498003625713,11.490370698320755
