bucket,count,mean,median,hit_rate
Q1,840,0.06075406386166308,0.022485762810726673,0.5833333333333334
Q2,840,0.03859759842829203,0.010830525984573125,0.5666666666666667
Q3,770,0.033365581716979106,0.010663266974950014,0.5415584415584416
Q4,840,0.032569190369964085,0.0171126989506607,0.5678571428571428
Q5,840,0.027719758088959164,0.015414134705919014,0.5535714285714286
