decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Strong Candidate,17,5,0.061638093018473894,0.08085109534773482,0.7058823529411765,0.1937697980050003,-0.2715447154471544,0.6201299314288011
Watchlist,35,18,0.006108561188037306,-0.021220192651362213,0.4,0.13894848775711288,-0.19765167305001052,0.5569620253164558
Neutral,548,59,0.05044757125693248,0.020051117217233516,0.6003649635036497,0.13855282061158128,-0.2865080020258376,0.8204081627533897
Avoid Chasing,201,46,0.1065830138227015,0.0710382513661203,0.6368159203980099,0.23026635738327694,-0.27286824281781596,0.9865016872890888
Avoid,3329,59,0.03288059744700342,0.012930953943632417,0.5533193151096425,0.145668837895028,-0.5298823103600551,1.0768764975740295
