decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Strong Candidate,19,9,0.11767298808109194,0.08085109534773482,0.631578947368421,0.2775809365987887,-0.2715447154471544,0.6227390054241138
Watchlist,79,20,0.06406850644899129,0.027257241459539783,0.5822784810126582,0.18844116830200014,-0.5298823103600551,0.5569620253164558
Neutral,270,22,0.038280896696125756,0.013189929017782598,0.5703703703703704,0.15722264813536221,-0.27403857684935873,0.8204081627533897
Avoid Chasing,31,16,0.01327309519364458,0.00016680917276268303,0.5161290322580645,0.1612549693053889,-0.232394395069214,0.49382716049382713
Avoid,1141,22,0.02536039392589195,0.01026386696759407,0.5390008764241893,0.13487991986366749,-0.31168830113364054,1.1785268886777058
