rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes,rebalance_date,fwd_return_1m
1,2020-06-30,3041.TW,揚智 Ali Corp,semi_equipment,3.717,3.0,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.73,0.0,2.25,0.0,0.05,0.0,2.313,5,CAPEX context +0.50; residual alpha +3.73,,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.2636364166007592
2,2020-06-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,0.228,2.5,Neutral,No urgency.,-0.013,0.0,0.922,0.0,0.0,0.0,0.681,2,,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.11111195623390735
3,2020-06-30,4755.TW,三福化工 San Fu Chemical,gases_chemicals,-0.291,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.871,0.0,-0.023,0.0,0.0,0.0,1.139,2,residual alpha +0.87,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.6635044142709401
4,2020-06-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-0.411,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.817,0.0,-0.253,0.0,0.05,0.0,1.025,2,CAPEX context +0.50; residual alpha +0.82,,revenue_not_confirmed(medium),2.5,,2020-06-30,-0.009346389648232423
5,2020-06-30,5347.TWO,世界先進 Vanguard,indirect,-0.579,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.417,0.0,-0.0,0.0,0.0,0.0,0.996,2,residual alpha +0.42,valuation penalty -0.08,revenue_not_confirmed(medium),2.5,,2020-06-30,0.273386464253484
6,2020-06-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-0.951,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.515,0.0,0.597,0.0,0.05,0.0,1.084,2,CAPEX context +0.50,valuation penalty -0.10,revenue_not_confirmed(medium),2.5,,2020-06-30,0.08561652776377349
7,2020-06-30,6202.TW,盛群 Holtek,semi_equipment,-1.034,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.371,0.0,-0.794,0.0,0.05,0.0,0.661,2,CAPEX context +0.50; residual alpha +0.37,valuation penalty -0.01,revenue_not_confirmed(medium),2.5,,2020-06-30,0.0839581654416135
8,2020-06-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.256,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.426,0.0,-0.129,0.0,0.05,0.0,0.751,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.02238820290089394
9,2020-06-30,3131.TWO,弘塑 Grand Process Technology,semi_equipment,-1.304,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.853,0.0,0.575,0.0,0.05,0.0,1.075,2,CAPEX context +0.50,valuation penalty -0.10,revenue_not_confirmed(medium),2.5,,2020-06-30,0.5275220395867997
10,2020-06-30,2351.TW,順德 SDI,gases_chemicals,-1.603,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.318,0.0,0.471,0.0,0.0,0.0,1.755,5,,valuation penalty -0.05,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,,2020-06-30,-0.0162089475508006
11,2020-06-30,1727.TW,中華化學 China Chemical & Pharmaceutical,gases_chemicals,-1.626,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.16,0.0,0.026,0.0,0.0,0.0,1.492,2,,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.046560887342959933
12,2020-06-30,3587.TW,閎康 Materials Analysis Technology,inspection,-1.629,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.048,0.0,-0.103,0.0,0.05,0.0,1.528,5,CAPEX context +0.50,,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.2140403754984146
13,2020-06-30,6139.TW,亞翔工程 Acter,facility_cleanroom,-1.649,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.825,0.0,0.221,0.0,0.05,0.0,1.095,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.20994480619752287
14,2020-06-30,3413.TW,京鼎 KE Holdings,semi_equipment,-1.775,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.109,0.0,-0.12,0.0,0.05,0.0,1.596,5,CAPEX context +0.50,valuation penalty -0.02,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.1762967347164559
15,2020-06-30,1721.TW,三晃 Sunko-Ink,gases_chemicals,-1.776,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.082,0.0,-0.419,0.0,0.0,0.0,1.439,2,residual alpha +0.08,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.029989773162728772
16,2020-06-30,6196.TW,帆宣 Marketech International,facility_cleanroom,-1.963,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.473,0.0,0.161,0.0,0.05,0.0,1.702,5,CAPEX context +0.50,valuation penalty -0.04,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.41592820234220884
17,2020-06-30,4763.TW,材料-KY 國際應材,gases_chemicals,-2.168,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.575,0.0,-0.976,0.0,0.0,0.0,0.616,2,,valuation penalty -0.00,revenue_not_confirmed(medium),2.5,,2020-06-30,0.1050420542387398
18,2020-06-30,2436.TW,偉詮電 Weltrend,semi_equipment,-2.246,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.071,0.0,-0.612,0.0,0.05,0.0,1.755,4,CAPEX context +0.50; residual alpha +0.07,valuation penalty -0.11,revenue_not_confirmed(medium); valuation_extreme(medium),2.5,,2020-06-30,0.12030091129600051
19,2020-06-30,6271.TW,同欣電 Tong Hsing,inspection,-2.322,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.391,0.0,0.103,0.0,0.05,0.0,1.084,2,CAPEX context +0.50,valuation penalty -0.10,revenue_not_confirmed(medium),2.5,,2020-06-30,0.020486069383974126
20,2020-06-30,3680.TW,家登 Gudeng Precision,semi_equipment,-2.501,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,1.113,0.0,0.323,0.0,0.05,0.0,3.987,10,CAPEX context +0.50; residual alpha +1.11,valuation penalty -0.20,overbought(high); revenue_not_confirmed(medium); valuation_extreme(high); valuation_extreme(medium),2.5,,2020-06-30,0.15587040131479601
21,2020-06-30,3583.TW,辛耘 Sun Tech,semi_equipment,-2.903,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.562,0.0,-0.625,0.0,0.05,0.0,1.766,5,CAPEX context +0.50,,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.24705882887591168
22,2020-06-30,6187.TWO,萬潤 Wan Run,semi_equipment,-4.102,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.414,0.0,-1.619,0.0,0.05,0.0,1.119,2,CAPEX context +0.50,valuation penalty -0.10,revenue_not_confirmed(medium),2.5,,2020-06-30,0.5404161807011574
1,2020-07-31,4755.TW,三福化工 San Fu Chemical,gases_chemicals,4.668,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,4.177,0.0,2.03,0.0,0.0,0.0,1.538,5,residual alpha +4.18,valuation penalty -0.01,overbought(high); revenue_not_confirmed(medium),2.5,,2020-07-31,-0.12915133999853567
2,2020-07-31,6187.TWO,萬潤 Wan Run,semi_equipment,0.064,3.0,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,1.195,0.0,1.513,0.0,0.05,0.0,2.694,7,CAPEX context +0.50; residual alpha +1.19,valuation penalty -0.12,overbought(high); revenue_not_confirmed(medium); valuation_extreme(medium),2.5,,2020-07-31,0.09090906557785772
3,2020-07-31,6196.TW,帆宣 Marketech International,facility_cleanroom,-0.178,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.788,0.0,0.979,0.0,0.05,0.0,1.995,5,CAPEX context +0.50; residual alpha +0.79,valuation penalty -0.10,overbought(high); revenue_not_confirmed(medium),2.5,,2020-07-31,-0.05084746420124109
4,2020-07-31,3131.TWO,弘塑 Grand Process Technology,semi_equipment,-0.387,3.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.741,0.0,0.907,0.0,0.05,0.0,2.085,5,CAPEX context +0.50; residual alpha +0.74,valuation penalty -0.12,overbought(high); revenue_not_confirmed(medium),2.5,,2020-07-31,-0.06020956790749998
5,2020-07-31,3587.TW,閎康 Materials Analysis Technology,inspection,-0.765,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.481,0.0,0.375,0.0,0.05,0.0,0.71,2,CAPEX context +0.50,valuation penalty -0.02,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.06289985862367942
6,2020-07-31,4763.TW,材料-KY 國際應材,gases_chemicals,-0.853,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.067,0.0,-0.197,0.0,0.0,0.0,0.723,2,residual alpha +0.07,,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.030418313579644196
7,2020-07-31,3583.TW,辛耘 Sun Tech,semi_equipment,-0.887,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.492,0.0,0.413,0.0,0.05,0.0,0.857,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-07-31,0.025728888105953862
8,2020-07-31,5347.TWO,世界先進 Vanguard,indirect,-0.978,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.08,0.0,-0.0,0.0,0.0,0.0,2.058,5,residual alpha +1.08,valuation penalty -0.11,overbought(high); revenue_not_confirmed(medium),2.5,,2020-07-31,-0.017856982549685374
9,2020-07-31,6202.TW,盛群 Holtek,semi_equipment,-1.175,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.207,0.0,-0.367,0.0,0.05,0.0,0.651,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.06550666191959709
10,2020-07-31,6139.TW,亞翔工程 Acter,facility_cleanroom,-1.229,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.53,0.0,0.314,0.0,0.05,0.0,1.064,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.09429590294220569
11,2020-07-31,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-1.375,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.459,0.0,-0.156,0.0,0.0,0.0,0.759,2,,,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.06524309220392566
12,2020-07-31,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.573,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.269,0.0,-0.586,0.0,0.05,0.0,0.768,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-07-31,0.0024330368726670493
13,2020-07-31,3413.TW,京鼎 KE Holdings,semi_equipment,-1.664,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.879,0.0,-0.188,0.0,0.05,0.0,0.647,2,CAPEX context +0.50,valuation penalty -0.01,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.07951810252170899
14,2020-07-31,3105.TWO,穩懋 WIN Semi,semi_equipment,-1.838,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.765,0.0,-0.233,0.0,0.05,0.0,0.889,2,CAPEX context +0.50,valuation penalty -0.06,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.09779178529508525
15,2020-07-31,6271.TW,同欣電 Tong Hsing,inspection,-1.999,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.874,0.0,-0.375,0.0,0.05,0.0,0.8,2,CAPEX context +0.50,valuation penalty -0.04,revenue_not_confirmed(medium),2.5,,2020-07-31,-0.05693937621821199
16,2020-07-31,1727.TW,中華化學 China Chemical & Pharmaceutical,gases_chemicals,-2.298,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.353,0.0,-0.451,0.0,0.0,0.0,1.494,2,,,revenue_not_confirmed(medium),2.5,,2020-07-31,0.08190088350273972
