name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,1540,0.061439122203923675,0.015892902594766608,0.05055148026362396,0.016836214179609118,0.033715266084014844,0.04896441438301616,1.4940101701842285,-0.4083188398267179,17.98587645458487
no_narrative,1540,0.05988676401537833,0.018756890326325843,0.050501428886261496,0.015263254838939165,0.03523817404732233,0.0490898567217846,1.4930255640880798,-0.40831883982671824,18.093180838903297
no_risk_penalty,1540,0.04897708274465877,0.0546571041084169,0.0518849573570068,0.019002871159201032,0.03288208619780577,0.041424835083304384,1.217613764914594,-0.4823857068727849,10.063998919491434
no_revenue,1540,0.05969897856048674,0.01913222253254798,0.051013986252391993,0.012226452944733701,0.038787533307658294,0.04890514356890511,1.363800421168929,-0.44777996234255646,16.61958310337766
no_sector_relative,1540,0.06402176442277317,0.011973185712177295,0.05168265701324509,0.01628850554668658,0.03539415146655851,0.053397935146665326,1.601595227201718,-0.3370321604671208,24.485032061390704
no_flow,1540,0.060894841951649716,0.01685002987725859,0.050643064608860554,0.01581575196546864,0.034827312643391915,0.04921520058710482,1.4775212327014138,-0.409380409264405,18.11697311746615
no_residual_alpha,1540,0.06328159688222913,0.012998060575813082,0.051772834961021905,0.010813228539566061,0.040959606421455845,0.0484217898726953,1.5663051091176252,-0.35269312629803984,18.29642944651115
residual_alpha_only,1540,0.057546068082707146,0.023926425176763737,0.05047062036822417,0.019321557072567396,0.03114906329565677,0.05284439883392129,1.6095246590017114,-0.3701868862053689,23.64122349733341
narrative_only,1540,0.058228952994997606,0.022303875319195456,0.028438863651933387,0.03069563540634404,-0.002256771754410653,0.027885910839711217,1.0665742188704954,-0.36704509516469574,4.230251247980809
random,1540,-0.06988128431681974,0.006079412355554715,0.013877116091636124,0.03841297569594949,-0.024535859604313363,0.017556259587435306,0.64524518025421,-0.5115047230176178,1.5063543960096264
