name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,1540,0.06473183787611754,0.01105791842350406,0.05607498796665582,0.019973242163972702,0.03610174580268312,0.053298684074403545,1.681170333314213,-0.3139803746590336,25.26454248702169
no_narrative,1540,0.06473183787611754,0.01105791842350406,0.05607498796665582,0.019973242163972702,0.03610174580268312,0.053298684074403545,1.681170333314213,-0.3139803746590336,25.26454248702169
no_risk_penalty,1540,0.056477706007447365,0.026669958460853925,0.05342752694230765,0.019956914065943326,0.033470612876364325,0.05421520889659619,1.6491134665089668,-0.37288537730222693,25.884556016747002
no_revenue,1540,0.05850829158079898,0.02166822559654955,0.05475698190809978,0.02116451060985655,0.03359247129824323,0.05342122757643026,1.6191282675988883,-0.3836148584729464,24.550623940400538
no_sector_relative,1540,0.06473183787611754,0.01105791842350406,0.05607498796665582,0.019973242163972702,0.03610174580268312,0.053298684074403545,1.681170333314213,-0.3139803746590336,25.26454248702169
no_flow,1540,0.06458569939292673,0.011241044680966024,0.05751160220451901,0.022025050810619916,0.03548655139389909,0.05404488871300438,1.6798523121002356,-0.2992587799948918,26.241708240931622
no_residual_alpha,1540,0.05459213530173495,0.03217673987477413,0.040341985862111275,0.023089252439787027,0.017252733422324248,0.04182645137968935,1.5333346911936803,-0.268301300417945,12.350297629083736
residual_alpha_only,1540,0.057546068082707146,0.023926425176763737,0.05047062036822417,0.019321557072567396,0.03114906329565677,0.05284439883392129,1.6095246590017114,-0.3701868862053689,23.64122349733341
narrative_only,1540,,,0.04040846327865933,0.03926828983789023,0.001140173440769103,0.03786264593526952,1.4053734126146178,-0.2822057374955428,9.10200756736083
random,1540,-0.03642490064151622,0.15308192209407503,0.03063845995209591,0.029263451362613654,0.0013750085894822552,0.027714982231881846,1.0611745857488024,-0.5427413362003946,4.137283305064271
