ticker,company_name,theme,price_n,price_first,price_last,price_missing_ratio,revenue_n,revenue_first,revenue_last,revenue_yoy_n_nonnull,flow_n,flow_first,flow_last,valuation_n,valuation_first,valuation_last,tier2_complete
1519.TW,華城 Hua Eng Wire,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
6187.TWO,萬潤 Wan Run,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2011,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
6488.TWO,環球晶 GlobalWafers,gases_chemicals,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
8996.TW,高力 KAORI,thermal,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2020,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
6139.TW,亞翔工程 Acter,facility_cleanroom,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3363.TWO,上詮 LuxNet,optical_communication,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,1891,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
2451.TW,創見 Transcend,memory_hbm,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
4977.TW,眾達-KY Applied Optoelectronics,optical_communication,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3131.TWO,弘塑 Grand Process Technology,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,1881,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
2357.TW,華碩 ASUS,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3491.TWO,昇達科 Microelectronics Technology,leo_satellite,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
2376.TW,技嘉 GIGABYTE,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2492.TW,華新科 Walsin Technology,passive_components,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
5536.TW,聖暉 Acter Group,facility_cleanroom,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2015,2018-01-02,2026-04-30,2014,2018-01-02,2026-04-30,True
6271.TW,同欣電 Tong Hsing,inspection,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2010,2018-01-02,2026-04-30,2011,2018-01-02,2026-04-30,True
6282.TW,康舒 ACBEL Polytech,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3583.TW,辛耘 Sun Tech,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2356.TW,英業達 Inventec,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
1504.TW,東元 TECO,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3680.TW,家登 Gudeng Precision,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,1996,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
2377.TW,微星 MSI,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3587.TW,閎康 Materials Analysis Technology,inspection,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2023,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
6196.TW,帆宣 Marketech International,facility_cleanroom,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2421.TW,建準 Sunon,thermal,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2351.TW,順德 SDI,gases_chemicals,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2436.TW,偉詮電 Weltrend,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2015,2018-01-02,2026-04-30,2017,2018-01-02,2026-04-30,True
1514.TW,亞力 Allis Electric,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3413.TW,京鼎 KE Holdings,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
