decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Strong Candidate,72,36,0.05761576905810929,0.03260559807743835,0.5555555555555556,0.1874766413482891,-0.2715447154471544,0.8354430379746836
Watchlist,110,40,0.046943537447737764,0.009140024316351525,0.5545454545454546,0.16479443241818134,-0.23534481378469208,0.8150684931506849
Neutral,838,59,0.04694759489661477,0.015306432485718835,0.5656324582338902,0.15148851834697083,-0.34947368784036426,0.8181818181818181
Avoid Chasing,13,11,0.110949583400581,0.0069686464568325945,0.5384615384615384,0.2495250605092848,-0.20588236362282708,0.5979181149803992
Avoid,3097,59,0.03541913379145172,0.015625,0.562802712302228,0.14878815419293107,-0.5298823103600551,1.0768764975740295
