decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Strong Candidate,5,2,0.04702999535042181,0.125683015907041,0.8,0.1879800673922983,-0.2715447154471544,0.21185510428100995
Watchlist,52,15,0.09512497419264904,0.05588010592575121,0.5769230769230769,0.211916745344891,-0.25214894737727267,0.6227390054241138
Neutral,249,22,0.03827828408350637,0.01355934521505242,0.5662650602409639,0.1755377140271548,-0.5298823103600551,1.1785268886777058
Avoid Chasing,16,11,0.03374906397889884,-0.025158042388319812,0.5,0.1985967112408342,-0.20588236362282708,0.49382716049382713
Avoid,1218,22,0.026049088601137423,0.009915822574101618,0.541871921182266,0.13350684360256,-0.31168830113364054,0.715145463549314
