ra_w,rev_w,flw_w,risk_mult,min_alpha,train_sharpe,train_max_dd,train_total,train_mean,test_sharpe,test_max_dd,test_total,test_mean,full_sharpe,full_total,full_max_dd,annualised_turnover,net_cagr_25bps,net_sharpe_25bps,strong_n_full,strong_unique,strong_hit,strong_mean,watch_n_full,watch_hit_full,neutral_n_full,neutral_hit_full,avoid_n_full,avoid_hit_full,robust_ratio,passes_robust,passes_strong,passes_all,n_zero_weights
0.3,0.0,0.0,0.5,2.5,1.489079076054737,-0.2325672649819135,5.604313041676632,0.05105195316597099,2.4816001688699805,-0.2178745204268442,10.480906910506155,0.10332909613405741,1.8736362369417483,74.82350323933115,-0.2325672649819135,7.577142857142857,1.0628249907109648,1.8321052764930275,13,12,0.5384615384615384,0.13000136946049556,27,0.6296296296296297,912,0.5888157894736842,3178,0.5550660792951542,1.6665335030056923,True,False,False,2
0.3,0.0,0.0,0.5,3.0,1.489079076054737,-0.2325672649819135,5.604313041676632,0.05105195316597099,2.4816001688699805,-0.2178745204268442,10.480906910506155,0.10332909613405741,1.8736362369417483,74.82350323933115,-0.2325672649819135,7.577142857142857,1.0628249907109648,1.8321052764930275,1,1,1.0,0.1720183223011244,39,0.5897435897435898,912,0.5888157894736842,3178,0.5550660792951542,1.6665335030056923,True,False,False,2
0.3,0.0,0.0,0.5,3.5,1.489079076054737,-0.2325672649819135,5.604313041676632,0.05105195316597099,2.4816001688699805,-0.2178745204268442,10.480906910506155,0.10332909613405741,1.8736362369417483,74.82350323933115,-0.2325672649819135,7.577142857142857,1.0628249907109648,1.8321052764930275,0,0,,,40,0.6,912,0.5888157894736842,3178,0.5550660792951542,1.6665335030056923,True,False,False,2
0.3,0.0,0.0,0.5,4.0,1.489079076054737,-0.2325672649819135,5.604313041676632,0.05105195316597099,2.4816001688699805,-0.2178745204268442,10.480906910506155,0.10332909613405741,1.8736362369417483,74.82350323933115,-0.2325672649819135,7.577142857142857,1.0628249907109648,1.8321052764930275,0,0,,,40,0.6,912,0.5888157894736842,3178,0.5550660792951542,1.6665335030056923,True,False,False,2
0.3,0.0,0.0,0.75,2.5,1.5522173779598631,-0.23256726498191393,4.528370080008293,0.04526997509312738,2.3767485310305325,-0.15655511381974851,8.958068356431905,0.09708115619787444,1.8689655625927124,54.051887156375514,-0.23256726498191393,7.714285714285715,0.9519034023264907,1.8229349528779186,6,5,0.3333333333333333,-0.02686750131335826,20,0.6,713,0.5848527349228612,3391,0.5585373046299027,1.5311956719324848,True,False,False,2
0.3,0.0,0.0,0.75,3.0,1.5522173779598631,-0.23256726498191393,4.528370080008293,0.04526997509312738,2.3767485310305325,-0.15655511381974851,8.958068356431905,0.09708115619787444,1.8689655625927124,54.051887156375514,-0.23256726498191393,7.714285714285715,0.9519034023264907,1.8229349528779186,1,1,1.0,0.1720183223011244,25,0.52,713,0.5848527349228612,3391,0.5585373046299027,1.5311956719324848,True,False,False,2
0.3,0.0,0.0,0.75,3.5,1.5522173779598631,-0.23256726498191393,4.528370080008293,0.04526997509312738,2.3767485310305325,-0.15655511381974851,8.958068356431905,0.09708115619787444,1.8689655625927124,54.051887156375514,-0.23256726498191393,7.714285714285715,0.9519034023264907,1.8229349528779186,0,0,,,26,0.5384615384615384,713,0.5848527349228612,3391,0.5585373046299027,1.5311956719324848,True,False,False,2
0.3,0.0,0.0,0.75,4.0,1.5522173779598631,-0.23256726498191393,4.528370080008293,0.04526997509312738,2.3767485310305325,-0.15655511381974851,8.958068356431905,0.09708115619787444,1.8689655625927124,54.051887156375514,-0.23256726498191393,7.714285714285715,0.9519034023264907,1.8229349528779186,0,0,,,26,0.5384615384615384,713,0.5848527349228612,3391,0.5585373046299027,1.5311956719324848,True,False,False,2
0.3,0.0,0.0,1.0,2.5,1.4361131552235928,-0.3081864579398558,4.167367478940896,0.044276841534879756,2.233814756955529,-0.16194284008119508,7.832890856837729,0.09245338806383344,1.7498352263666825,44.64279295865767,-0.3081864579398558,8.297142857142855,0.8874492147567383,1.7017163506358268,5,4,0.2,-0.03866301755031524,10,0.6,577,0.5788561525129983,3538,0.5607687959299039,1.5554587386310375,True,False,False,2
0.3,0.0,0.0,1.0,3.0,1.4361131552235928,-0.3081864579398558,4.167367478940896,0.044276841534879756,2.233814756955529,-0.16194284008119508,7.832890856837729,0.09245338806383344,1.7498352263666825,44.64279295865767,-0.3081864579398558,8.297142857142855,0.8874492147567383,1.7017163506358268,1,1,1.0,0.1720183223011244,14,0.42857142857142855,577,0.5788561525129983,3538,0.5607687959299039,1.5554587386310375,True,False,False,2
