name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,4130,0.017765852736198174,0.25367507545727785,0.05673066814108951,0.03636493165788308,0.020365736483206436,0.057933392682778174,1.6801410870265752,-0.28939754247056804,32.72966287096647
no_narrative,4130,0.017765852736198174,0.25367507545727785,0.05673066814108951,0.03636493165788308,0.020365736483206436,0.057933392682778174,1.6801410870265752,-0.28939754247056804,32.72966287096647
no_risk_penalty,4130,0.03670906290194696,0.018314791121656047,0.057253859990937905,0.03221928135416536,0.025034578636772546,0.06129565311116037,1.6627680897972754,-0.3518856488371609,38.480950476787086
no_revenue,4130,0.012773442792641079,0.4118335436169494,0.058914995865499274,0.03247523884879725,0.026439757016702023,0.06861881420539484,1.8692593046263353,-0.22526376189016972,65.22269489957085
no_sector_relative,4130,0.017765852736198174,0.25367507545727785,0.05673066814108951,0.03636493165788308,0.020365736483206436,0.057933392682778174,1.6801410870265752,-0.28939754247056804,32.72966287096647
no_flow,4130,0.014398129357461655,0.3549322367469934,0.054788972262969554,0.03760689501088947,0.017182077252080083,0.06006897372402714,1.7614897094605932,-0.2659975959276486,38.33790041800748
no_residual_alpha,4130,-0.018601213232900093,0.23202846063550323,0.0399632436192951,0.041034800333653594,-0.0010715567143584973,0.04010652037619733,1.4738050342875646,-0.22787444463303697,10.895631972798173
residual_alpha_only,4130,0.01002884145648304,0.51936447027941,0.05760610620845243,0.03525687944619594,0.022349226762256494,0.06628352418991272,1.8973566443851735,-0.24052673984055883,57.669899140025365
narrative_only,4130,,,0.030371960009967693,0.038279355261986954,-0.00790739525201926,0.032084015687216146,1.2882052129558457,-0.32057055206099316,6.181531107551274
random,4130,0.007370065728042673,0.635855864871159,0.03965382809013574,0.03519925246551736,0.00445457562461838,0.04270889743561325,1.3730453618897744,-0.388714295800367,12.00999195640388
