universe_name,num_stocks,cost_bps,cagr,sharpe,max_drawdown,monthly_hit_rate,avg_monthly_turnover,annualized_turnover,final_nav,net_alpha_vs_benchmark,top5_concentration,max_theme_exposure,unique_holdings_count,strong_count,strong_hit_rate,watchlist_count,watchlist_hit_rate
original,59,25.0,0.7752188600884418,1.6217846992238276,-0.2967430592578182,0.6,0.5800000000000001,6.960000000000001,28.442609289912102,0.4678723533664104,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
original,59,50.0,0.7458797615800519,1.579463750592146,-0.31211215857696595,0.6,0.5800000000000001,6.960000000000001,25.80775706489733,0.4385332548580205,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
original,59,100.0,0.688517428530856,1.4947112013268582,-0.34192482299047533,0.6,0.5800000000000001,6.960000000000001,21.23810163937763,0.3811709218088246,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
expanded_liquid_40,39,25.0,0.8368544599072056,1.8324530675802855,-0.2964373489265534,0.6285714285714286,0.5085714285714286,6.102857142857143,34.70851434124706,0.5295079531851743,0.1282051282051282,0.4,39,40,0.55,73,0.5068493150684932
expanded_liquid_40,39,50.0,0.810291250579749,1.7920721799759323,-0.3013971662991278,0.6142857142857143,0.5085714285714286,6.102857142857143,31.881051660991645,0.5029447438577177,0.1282051282051282,0.4,39,40,0.55,73,0.5068493150684932
expanded_liquid_40,39,100.0,0.758203638796243,1.7111705364816785,-0.3112396049548687,0.6142857142857143,0.5085714285714286,6.102857142857143,26.88872347223935,0.45085713207421163,0.1282051282051282,0.4,39,40,0.55,73,0.5068493150684932
expanded_liquid_60,59,25.0,0.7752188600884418,1.6217846992238276,-0.2967430592578182,0.6,0.5800000000000001,6.960000000000001,28.442609289912102,0.4678723533664104,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
expanded_liquid_60,59,50.0,0.7458797615800519,1.579463750592146,-0.31211215857696595,0.6,0.5800000000000001,6.960000000000001,25.80775706489733,0.4385332548580205,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
expanded_liquid_60,59,100.0,0.688517428530856,1.4947112013268582,-0.34192482299047533,0.6,0.5800000000000001,6.960000000000001,21.23810163937763,0.3811709218088246,0.0847457627118644,0.4,56,72,0.5555555555555556,110,0.5545454545454546
expanded_all_available,77,25.0,0.8870203035447795,1.8098357884116978,-0.3061615154661833,0.7,0.5885714285714287,7.062857142857145,40.61595562676503,0.5796737968227481,0.06493506493506493,0.4,68,87,0.5862068965517241,116,0.5431034482758621
expanded_all_available,77,50.0,0.8552843953520932,1.7642817993074993,-0.31144463495188457,0.6857142857142857,0.5885714285714287,7.062857142857145,36.789837426120634,0.5479378886300619,0.06493506493506493,0.4,68,87,0.5862068965517241,116,0.5431034482758621
expanded_all_available,77,100.0,0.7932600594224173,1.673322765022398,-0.3219219853048585,0.6571428571428571,0.5885714285714287,7.062857142857145,30.170726992212042,0.48591355270038594,0.06493506493506493,0.4,68,87,0.5862068965517241,116,0.5431034482758621
