decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Strong Candidate,31,10,0.09896152273655234,0.04166666666666674,0.5806451612903226,0.250780633619302,-0.2715447154471544,0.6227390054241138
Watchlist,40,15,0.08890188150336945,0.061973432680401674,0.65,0.15421708848414883,-0.11938204740391956,0.5433792203220191
Neutral,265,22,0.037217113800048676,0.012820512820512775,0.5584905660377358,0.17368757253324485,-0.5298823103600551,1.1785268886777058
Avoid Chasing,16,11,0.03374906397889884,-0.025158042388319812,0.5,0.1985967112408342,-0.20588236362282708,0.49382716049382713
Avoid,1188,22,0.02521406874222856,0.009915822574101618,0.5412457912457912,0.13274924587829298,-0.31168830113364054,0.715145463549314
