decision_zone,n_obs,n_unique_tickers,mean_fwd_1m,median_fwd_1m,hit_rate,std_fwd_1m,min_fwd_1m,max_fwd_1m
Watchlist,103,41,0.08170139367969609,0.05909089026205616,0.6504854368932039,0.19033272111545213,-0.27286824281781596,0.8354430379746836
Neutral,701,59,0.04580992681528073,0.017786591780810657,0.5834522111269614,0.14028563237375735,-0.5298823103600551,0.8204081627533897
Avoid Chasing,195,51,0.07442161975969862,0.03352718486694739,0.5846153846153846,0.2122979455804867,-0.2715447154471544,0.9865016872890888
Avoid,3131,59,0.033455571016119456,0.013314076879344494,0.5541360587671671,0.14670573850967278,-0.34947368784036426,1.0768764975740295
