universe_name,decision_zone,n_obs,n_unique_tickers,hit_rate,mean_forward_1m_return,median_forward_1m_return,avg_alpha_score,avg_confidence_score
original,Avoid,3131,59,0.5541360587671671,0.033455571016119456,0.013314076879344494,-1.5159511338230598,2.3363142765889493
original,Avoid Chasing,195,51,0.5846153846153846,0.07442161975969862,0.03352718486694739,1.5402256410256412,2.453846153846154
original,Neutral,701,59,0.5834522111269614,0.04580992681528073,0.017786591780810657,0.821691868758916,2.0848787446504993
original,Watchlist,103,41,0.6504854368932039,0.08170139367969609,0.05909089026205616,2.962145631067962,2.5
expanded_liquid_40,Avoid,2086,39,0.5560882070949185,0.04033646593160835,0.01494562051770798,-1.5991658676893574,2.3015340364333654
expanded_liquid_40,Avoid Chasing,140,36,0.5714285714285714,0.08730754585385905,0.03673400663465709,1.5110142857142854,2.4535714285714287
expanded_liquid_40,Neutral,438,39,0.5730593607305936,0.04470485795303995,0.015822380013543746,0.8648401826484019,2.060502283105023
expanded_liquid_40,Watchlist,66,29,0.6818181818181818,0.10614564025535213,0.07420660054211858,2.9397878787878784,2.5
expanded_liquid_60,Avoid,3131,59,0.5541360587671671,0.033455571016119456,0.013314076879344494,-1.5159511338230598,2.3363142765889493
expanded_liquid_60,Avoid Chasing,195,51,0.5846153846153846,0.07442161975969862,0.03352718486694739,1.5402256410256412,2.453846153846154
expanded_liquid_60,Neutral,701,59,0.5834522111269614,0.04580992681528073,0.017786591780810657,0.821691868758916,2.0848787446504993
expanded_liquid_60,Watchlist,103,41,0.6504854368932039,0.08170139367969609,0.05909089026205616,2.962145631067962,2.5
expanded_all_available,Avoid,4120,77,0.5402912621359224,0.027879474685167778,0.00979430808714421,-1.459234708737864,2.346844660194175
expanded_all_available,Avoid Chasing,243,68,0.5925925925925926,0.07860952301508951,0.027257241459539783,1.6188765432098766,2.4691358024691357
expanded_all_available,Neutral,898,77,0.5757238307349666,0.04266752271190435,0.015549486256634992,0.7676135857461025,2.1447661469933186
expanded_all_available,Watchlist,129,52,0.6434108527131783,0.08774767935203723,0.060344815039512945,2.928457364341085,2.503875968992248
