name,n_obs,spearman_rho,spearman_p,top_quintile_mean,bottom_quintile_mean,spread,portfolio_mean_monthly,portfolio_sharpe_ann,portfolio_max_dd,portfolio_total_return
full,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
no_narrative,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
no_risk_penalty,4130,0.04140732475405607,0.007782090513021347,0.06106598857155724,0.03151059123417291,0.029555397337384333,0.07513999553046899,1.8505308132995748,-0.3418249500094024,89.0124185813605
no_revenue,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
no_sector_relative,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
no_flow,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
no_residual_alpha,4130,-0.05554308951998617,0.0003554074997635178,0.03308564981770782,0.04618651348978059,-0.01310086367207277,0.03161552499284762,1.0921193290676652,-0.323254587355826,5.528064855031078
residual_alpha_only,4130,0.02131977372901816,0.17073128779815247,0.05941972024371871,0.03201542746272897,0.027404292780989735,0.07784318203904432,1.9409978331204605,-0.2569492851962276,109.90556953770788
narrative_only,4130,,,0.036327177615275735,0.032734987429095384,0.003592190186180351,0.04394988282606295,1.4458713152247529,-0.30263216307349383,13.403862231789729
random,4130,0.02434776310733849,0.1177074428268625,0.046725532400790144,0.03680874540063226,0.009916787000157884,0.04396293538897173,1.4837952025233898,-0.4097469703402119,13.656769406645807
