universe_name,num_stocks,cost_bps,cagr,sharpe,max_drawdown,monthly_hit_rate,avg_monthly_turnover,annualized_turnover,final_nav,net_alpha_vs_benchmark,top5_concentration,max_theme_exposure,unique_holdings_count,strong_count,strong_hit_rate,watchlist_count,watchlist_hit_rate
original,59,25.0,1.1066036037262528,1.8798536196229672,-0.24847249613724154,0.6714285714285714,0.6200000000000001,7.440000000000001,77.19096428689002,0.7992570970042214,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
original,59,50.0,1.0699075172678838,1.8395346061731066,-0.2544357847436123,0.6714285714285714,0.6200000000000001,7.440000000000001,69.67021653268903,0.7625610105458525,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
original,59,100.0,0.9982480045952329,1.7587574825972814,-0.2662593862205628,0.6714285714285714,0.6200000000000001,7.440000000000001,56.72677532327463,0.6909014978732015,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
expanded_liquid_40,39,25.0,0.9766703753272681,1.7648056703277875,-0.2651676469249763,0.6714285714285714,0.5542857142857142,6.6514285714285695,53.24552889205524,0.6693238686052367,0.1282051282051282,0.4,39,0,,66,0.6818181818181818
expanded_liquid_40,39,50.0,0.9455098204225352,1.726635672039073,-0.2698578727471874,0.6714285714285714,0.5542857142857142,6.6514285714285695,48.53201534097551,0.6381633137005038,0.1282051282051282,0.4,39,0,,66,0.6818181818181818
expanded_liquid_40,39,100.0,0.8845192082294135,1.6503500196815684,-0.27917406555537216,0.6571428571428571,0.5542857142857142,6.6514285714285695,40.302932676883,0.5771727015073822,0.1282051282051282,0.4,39,0,,66,0.6818181818181818
expanded_liquid_60,59,25.0,1.1066036037262528,1.8798536196229672,-0.24847249613724154,0.6714285714285714,0.6200000000000001,7.440000000000001,77.19096428689002,0.7992570970042214,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
expanded_liquid_60,59,50.0,1.0699075172678838,1.8395346061731066,-0.2544357847436123,0.6714285714285714,0.6200000000000001,7.440000000000001,69.67021653268903,0.7625610105458525,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
expanded_liquid_60,59,100.0,0.9982480045952329,1.7587574825972814,-0.2662593862205628,0.6714285714285714,0.6200000000000001,7.440000000000001,56.72677532327463,0.6909014978732015,0.0847457627118644,0.4,58,0,,103,0.6504854368932039
expanded_all_available,77,25.0,1.1997893076215074,1.861095286539058,-0.33260930841487846,0.7,0.6514285714285715,7.817142857142858,99.36261351567444,0.892442800899476,0.06493506493506493,0.4,73,0,,129,0.6434108527131783
expanded_all_available,77,50.0,1.1596431886572014,1.8219795385934292,-0.3449985536998327,0.7,0.6514285714285715,7.817142857142858,89.24043726382291,0.85229668193517,0.06493506493506493,0.4,73,0,,129,0.6434108527131783
expanded_all_available,77,100.0,1.081341542445999,1.7436395972368823,-0.369159183891962,0.7,0.6514285714285715,7.817142857142858,71.94537657945804,0.7739950357239676,0.06493506493506493,0.4,73,0,,129,0.6434108527131783
